"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","3478","50815","RTCP","110"
"0.019055","0.019055","50815","3478","UDP","153"
"0.008833","0.008833","50815","3478","UDP","160"
"0.000181","0.000181","50815","3478","UDP","826"
"0.000064","0.000064","50815","3478","UDP","826"
"0.016037","0.016037","50815","3478","UDP","176"
"0.006089","0.006089","3478","50815","RTCP","110"
"0.001913","0.001913","50815","3478","UDP","1044"
"0.013045","0.013045","50815","3478","UDP","159"
"0.022444","0.022444","50815","3478","UDP","155"
"0.005764","0.005764","50815","3478","UDP","920"
"0.000106","0.000106","50815","3478","UDP","921"
"0.006676","0.006676","3478","50815","RTCP","110"
"0.005202","0.005202","50815","3478","UDP","151"
"0.019053","0.019053","50815","3478","UDP","1024"
"0.002583","0.002583","50815","3478","UDP","148"
"0.019203","0.019203","50815","3478","UDP","151"
"0.003922","0.003922","3478","50815","RTCP","110"
"0.008627","0.008627","50815","3478","UDP","740"
"0.000071","0.000071","50815","3478","UDP","740"
"0.008191","0.008191","50815","3478","UDP","151"
"0.012552","0.012552","50815","3478","RTCP","106"
"0.008111","0.008111","50815","3478","UDP","145"
"0.006992","0.006992","50815","3478","UDP","805"
"0.005528","0.005528","3478","50815","RTCP","110"
"0.006327","0.006327","50815","3478","UDP","152"
"0.016950","0.016950","50815","3478","RTCP","106"
"0.002800","0.002800","50815","3478","UDP","1169"
"0.000000","0.000000","50815","3478","UDP","147"
"0.022381","0.022381","50815","3478","UDP","155"
"0.001766","0.001766","3478","50815","RTCP","110"
"0.005698","0.005698","50815","3478","UDP","671"
"0.034726","0.034726","50815","3478","UDP","153"
"0.000000","0.000000","50815","3478","UDP","154"
"0.000159","0.000159","50815","3478","UDP","922"
"0.009501","0.009501","3478","50815","RTCP","110"
"0.005293","0.005293","50815","3478","UDP","152"
"0.021770","0.021770","50815","3478","UDP","654"
"0.000000","0.000000","50815","3478","UDP","149"
"0.018883","0.018883","50815","3478","UDP","148"
"0.003959","0.003959","3478","50815","RTCP","110"
"0.007305","0.007305","50815","3478","UDP","1204"
"0.007827","0.007827","50815","3478","UDP","87"
"0.004961","0.004961","3478","50815","RTCP","186"
"0.023603","0.023603","50815","3478","UDP","1061"
"0.006592","0.006592","3478","50815","RTCP","110"
"0.005415","0.005415","50815","3478","UDP","154"
"0.018312","0.018312","50815","3478","UDP","931"
"0.006640","0.006640","50815","3478","UDP","152"
"0.017027","0.017027","50815","3478","UDP","149"
"0.001914","0.001914","50815","3478","STUN","166"
"0.000646","0.000646","3478","50815","RTCP","110"
"0.007495","0.007495","50815","3478","UDP","736"
"0.008153","0.008153","50815","3478","UDP","152"
"0.018482","0.018482","3478","50815","STUN","106"
"0.001819","0.001819","50815","3478","UDP","157"
"0.004726","0.004726","50815","3478","UDP","778"
"0.000000","0.000000","50815","3478","UDP","778"
"0.009363","0.009363","3478","50815","RTCP","110"
"0.018517","0.018517","50815","3478","UDP","150"
"0.004417","0.004417","50815","3478","UDP","684"
"0.002121","0.002121","50815","3478","UDP","151"
"0.020484","0.020484","50815","3478","UDP","160"
"0.004523","0.004523","3478","50815","RTCP","110"
"0.006644","0.006644","50815","3478","UDP","920"
"0.033608","0.033608","50815","3478","UDP","153"
"0.000000","0.000000","50815","3478","UDP","156"
"0.001434","0.001434","50815","3478","UDP","505"
"0.008244","0.008244","3478","50815","RTCP","110"
"0.005312","0.005312","50815","3478","UDP","157"
"0.018405","0.018405","50815","3478","UDP","935"
"0.001532","0.001532","50815","3478","UDP","168"
"0.020243","0.020243","50815","3478","UDP","151"
"0.004795","0.004795","3478","50815","RTCP","110"
"0.005693","0.005693","50815","3478","UDP","776"
"0.009341","0.009341","50815","3478","UDP","146"
"0.020408","0.020408","50815","3478","UDP","155"
"0.004441","0.004441","50815","3478","UDP","1048"
"0.010047","0.010047","3478","50815","RTCP","110"
"0.005046","0.005046","50815","3478","UDP","150"
"0.018585","0.018585","50815","3478","UDP","757"
"0.004438","0.004438","50815","3478","UDP","157"
"0.017100","0.017100","50815","3478","UDP","150"
"0.004824","0.004824","3478","50815","RTCP","110"
"0.008711","0.008711","50815","3478","UDP","829"
"0.006015","0.006015","50815","3478","UDP","151"
"0.012147","0.012147","","","ICMPv6","110"
"0.008303","0.008303","50815","3478","UDP","157"
"0.006258","0.006258","50815","3478","UDP","651"
"0.008936","0.008936","3478","50815","RTCP","110"
"0.004692","0.004692","50815","3478","UDP","156"
"0.018006","0.018006","50815","3478","UDP","1222"
"0.001885","0.001885","50815","3478","UDP","150"
"0.021404","0.021404","50815","3478","UDP","149"
"0.003963","0.003963","3478","50815","RTCP","110"
"0.006178","0.006178","50815","3478","UDP","848"
"0.033269","0.033269","50815","3478","UDP","143"
"0.000000","0.000000","50815","3478","UDP","152"
"0.000978","0.000978","50815","3478","UDP","774"
"0.000073","0.000073","50815","3478","UDP","775"
"0.009449","0.009449","3478","50815","RTCP","110"
"0.004800","0.004800","50815","3478","UDP","158"
"0.019777","0.019777","50815","3478","UDP","1037"
"0.000078","0.000078","50815","3478","UDP","156"
"0.023652","0.023652","50815","3478","UDP","149"
"0.002025","0.002025","3478","50815","RTCP","110"
"0.001685","0.001685","50198","443","SSL","188"
"0.005067","0.005067","50815","3478","UDP","739"
"0.000000","0.000000","50815","3478","UDP","739"
"0.007538","0.007538","50815","3478","UDP","153"
"0.011709","0.011709","443","50198","SSL","132"
"0.001743","0.001743","50198","443","TCP","66"
"0.008383","0.008383","50815","3478","UDP","151"
"0.005973","0.005973","50815","3478","UDP","505"
"0.010067","0.010067","3478","50815","RTCP","114"
"0.015199","0.015199","50815","3478","UDP","150"
"0.004616","0.004616","50815","3478","UDP","716"
"0.002309","0.002309","50815","3478","UDP","150"
"0.002544","0.002544","50815","3478","RTCP","142"
"0.006392","0.006392","50815","3478","RTCP","142"
"0.013916","0.013916","50815","3478","UDP","152"
"0.003140","0.003140","3478","50815","RTCP","106"
"0.005359","0.005359","50815","3478","UDP","788"
"0.009092","0.009092","50815","3478","UDP","151"
"0.021272","0.021272","50815","3478","UDP","160"
"0.004283","0.004283","50815","3478","UDP","942"
"0.009991","0.009991","3478","50815","RTCP","110"
"0.004164","0.004164","50815","3478","UDP","150"
"0.018198","0.018198","50815","3478","UDP","824"
"0.001127","0.001127","50815","3478","UDP","149"
"0.021061","0.021061","50815","3478","UDP","148"
"0.005381","0.005381","3478","50815","RTCP","110"
"0.005957","0.005957","50815","3478","UDP","922"
"0.032523","0.032523","50815","3478","UDP","147"
"0.000000","0.000000","50815","3478","UDP","147"
"0.001649","0.001649","50815","3478","UDP","628"
"0.010031","0.010031","3478","50815","RTCP","110"
"0.007675","0.007675","50815","3478","UDP","154"
"0.013636","0.013636","50815","3478","UDP","1106"
"0.001789","0.001789","50815","3478","UDP","149"
