"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","62280","3478","UDP","148"
"0.000138","0.000138","62280","3478","UDP","676"
"0.000000","0.000000","62280","3478","UDP","171"
"0.025459","0.025459","3478","62280","RTCP","106"
"0.005594","0.005594","62280","3478","UDP","165"
"0.000132","0.000132","62280","3478","UDP","727"
"0.000090","0.000090","62280","3478","UDP","728"
"0.007340","0.007340","62280","3478","UDP","159"
"0.013699","0.013699","62280","3478","UDP","740"
"0.006233","0.006233","62280","3478","UDP","159"
"0.016920","0.016920","3478","62280","RTCP","110"
"0.003416","0.003416","62280","3478","UDP","149"
"0.008227","0.008227","62280","3478","UDP","994"
"0.011550","0.011550","62280","3478","UDP","147"
"0.021658","0.021658","62280","3478","UDP","150"
"0.001375","0.001375","62280","3478","UDP","1093"
"0.003735","0.003735","3478","62280","RTCP","114"
"0.013406","0.013406","62280","3478","UDP","154"
"0.014389","0.014389","62280","3478","UDP","706"
"0.000059","0.000059","62280","3478","UDP","706"
"0.006576","0.006576","62280","3478","UDP","159"
"0.015590","0.015590","3478","62280","RTCP","110"
"0.003858","0.003858","62280","3478","UDP","151"
"0.018979","0.018979","62280","3478","UDP","777"
"0.000307","0.000307","62280","3478","UDP","151"
"0.005291","0.005291","62280","3478","DTLSv1.2","275"
"0.014730","0.014730","62280","3478","UDP","152"
"0.001077","0.001077","62280","3478","UDP","706"
"0.000066","0.000066","62280","3478","UDP","706"
"0.005673","0.005673","3478","62280","RTCP","110"
"0.005778","0.005778","3478","62280","DTLSv1.2","147"
"0.007332","0.007332","62280","3478","UDP","148"
"0.014309","0.014309","62280","3478","UDP","951"
"0.005773","0.005773","62280","3478","UDP","148"
"0.017055","0.017055","3478","62280","RTCP","110"
"0.024824","0.024824","3478","62280","RTCP","186"
"0.001909","0.001909","62280","3478","UDP","156"
"0.000157","0.000157","62280","3478","UDP","704"
"0.000075","0.000075","62280","3478","UDP","705"
"0.000000","0.000000","62280","3478","UDP","155"
"0.015134","0.015134","62280","3478","UDP","87"
"0.001352","0.001352","62280","3478","UDP","1144"
"0.006521","0.006521","3478","62280","RTCP","106"
"0.028901","0.028901","62280","3478","UDP","801"
"0.000000","0.000000","62280","3478","UDP","801"
"0.022284","0.022284","3478","62280","RTCP","110"
"0.010168","0.010168","62280","3478","UDP","789"
"0.032166","0.032166","62280","3478","UDP","154"
"0.001186","0.001186","62280","3478","UDP","726"
"0.000000","0.000000","62280","3478","UDP","726"
"0.005667","0.005667","3478","62280","RTCP","106"
"0.008599","0.008599","62280","3478","DTLSv1.2","107"
"0.004790","0.004790","62280","3478","UDP","159"
"0.014082","0.014082","62280","3478","UDP","984"
"0.005815","0.005815","62280","3478","UDP","158"
"0.016695","0.016695","3478","62280","RTCP","110"
"0.003242","0.003242","62280","3478","UDP","159"
"0.007430","0.007430","62280","3478","UDP","695"
"0.000050","0.000050","62280","3478","UDP","695"
"0.012905","0.012905","62280","3478","UDP","155"
"0.026380","0.026380","3478","62280","RTCP","110"
"0.017819","0.017819","62280","3478","UDP","147"
"0.000000","0.000000","62280","3478","UDP","847"
"0.000000","0.000000","62280","3478","UDP","148"
"0.005091","0.005091","62280","3478","STUN","166"
"0.004668","0.004668","62280","3478","UDP","1064"
"0.005643","0.005643","62280","3478","UDP","148"
"0.016715","0.016715","3478","62280","RTCP","110"
"0.007617","0.007617","3478","62280","STUN","106"
"0.016742","0.016742","62280","3478","UDP","155"
"0.000106","0.000106","62280","3478","UDP","688"
"0.000000","0.000000","62280","3478","UDP","688"
"0.000089","0.000089","62280","3478","UDP","157"
"0.018203","0.018203","62280","3478","UDP","150"
"0.001557","0.001557","62280","3478","UDP","942"
"0.000000","0.000000","62280","3478","UDP","942"
"0.006234","0.006234","3478","62280","RTCP","110"
"0.012054","0.012054","62280","3478","UDP","152"
"0.014651","0.014651","62280","3478","UDP","956"
"0.005809","0.005809","62280","3478","UDP","155"
"0.017241","0.017241","3478","62280","RTCP","110"
"0.001302","0.001302","62280","3478","RTCP","142"
"0.004114","0.004114","62280","3478","UDP","149"
"0.004490","0.004490","62280","3478","UDP","856"
"0.000064","0.000064","62280","3478","UDP","856"
"0.012347","0.012347","62280","3478","UDP","144"
"0.021307","0.021307","62280","3478","UDP","87"
"0.004862","0.004862","62280","3478","UDP","557"
"0.001492","0.001492","3478","62280","RTCP","110"
"0.026595","0.026595","62280","3478","UDP","759"
"0.023636","0.023636","3478","62280","RTCP","110"
"0.007700","0.007700","62280","3478","UDP","719"
"0.035531","0.035531","62280","3478","UDP","934"
"0.006723","0.006723","3478","62280","RTCP","106"
"0.004916","0.004916","","","STP","60"
"0.021088","0.021088","62280","3478","UDP","533"
"0.024005","0.024005","3478","62280","RTCP","106"
"0.023630","0.023630","62280","3478","UDP","753"
"0.021617","0.021617","62280","3478","UDP","585"
"0.004784","0.004784","3478","62280","RTCP","106"
"0.027119","0.027119","62280","3478","UDP","833"
"0.022891","0.022891","3478","62280","RTCP","106"
"0.012635","0.012635","62280","3478","UDP","650"
"0.042081","0.042081","62280","3478","UDP","767"
"0.020737","0.020737","62280","3478","UDP","409"
"0.001291","0.001291","50224","19305","STUN","188"
"0.023526","0.023526","3478","62280","RTCP","110"
"0.008353","0.008353","62280","3478","UDP","702"
"0.007402","0.007402","19305","50224","STUN","132"
"0.001882","0.001882","50224","19305","TCP","66"
"0.004538","0.004538","62280","3478","UDP","150"
"0.020139","0.020139","62280","3478","UDP","151"
"0.003022","0.003022","62280","3478","UDP","628"
"0.004888","0.004888","3478","62280","RTCP","106"
"0.013082","0.013082","62280","3478","UDP","152"
"0.013156","0.013156","62280","3478","UDP","850"
"0.005612","0.005612","62280","3478","UDP","154"
"0.018127","0.018127","3478","62280","RTCP","110"
"0.024385","0.024385","62280","3478","UDP","153"
"0.000136","0.000136","62280","3478","UDP","629"
"0.000000","0.000000","62280","3478","UDP","155"
"0.019706","0.019706","62280","3478","UDP","152"
"0.000210","0.000210","62280","3478","UDP","899"
"0.005611","0.005611","3478","62280","RTCP","106"
"0.011713","0.011713","62280","3478","UDP","154"
"0.013838","0.013838","62280","3478","UDP","546"
"0.006180","0.006180","62280","3478","UDP","149"
"0.018260","0.018260","3478","62280","RTCP","110"
"0.001643","0.001643","62280","3478","UDP","152"
"0.007036","0.007036","62280","3478","UDP","825"
"0.012764","0.012764","62280","3478","UDP","152"
"0.002077","0.002077","3478","62280","RTCP","186"
"0.019006","0.019006","62280","3478","UDP","158"
"0.004346","0.004346","62280","3478","UDP","887"
"0.003495","0.003495","3478","62280","RTCP","110"
"0.011813","0.011813","62280","3478","UDP","152"
"0.013903","0.013903","62280","3478","UDP","1241"
"0.006315","0.006315","62280","3478","UDP","153"
"0.018792","0.018792","3478","62280","RTCP","110"
"0.001261","0.001261","62280","3478","UDP","153"
"0.007511","0.007511","62280","3478","UDP","687"
"0.004461","0.004461","62280","3478","RTCP","106"
"0.007046","0.007046","62280","3478","UDP","152"
"0.020559","0.020559","62280","3478","UDP","155"
"0.001160","0.001160","62280","3478","UDP","873"
"0.007375","0.007375","3478","62280","RTCP","110"
"0.011629","0.011629","62280","3478","UDP","153"
"0.014171","0.014171","62280","3478","UDP","775"
"0.006351","0.006351","62280","3478","UDP","150"
"0.018010","0.018010","3478","62280","RTCP","110"
"0.025659","0.025659","62280","3478","UDP","150"
"0.000291","0.000291","62280","3478","UDP","1201"
"0.000000","0.000000","62280","3478","UDP","87"
"0.028289","0.028289","3478","62280","RTCP","110"
"0.000000","0.000000","62280","3478","UDP","682"
"0.020974","0.020974","62280","3478","UDP","962"
"0.001157","0.001157","62280","3478","STUN","166"
"0.024012","0.024012","3478","62280","RTCP","110"
"0.003905","0.003905","3478","62280","STUN","106"
