"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","62280","3478","UDP","682"
"0.016546","0.016546","62280","3478","UDP","155"
"0.016052","0.016052","62280","3478","UDP","793"
"0.004070","0.004070","62280","3478","UDP","158"
"0.002985","0.002985","3478","62280","RTCP","110"
"0.013983","0.013983","62280","3478","DTLSv1.2","279"
"0.002965","0.002965","62280","3478","UDP","199"
"0.007357","0.007357","","","STP","60"
"0.001154","0.001154","62280","3478","UDP","1092"
"0.011061","0.011061","62280","3478","UDP","153"
"0.013497","0.013497","3478","62280","RTCP","110"
"0.000479","0.000479","3478","62280","DTLSv1.2","147"
"0.006889","0.006889","62280","3478","UDP","154"
"0.002252","0.002252","62280","3478","UDP","699"
"0.008079","0.008079","","","ICMPv6","110"
"0.009357","0.009357","62280","3478","UDP","155"
"0.015605","0.015605","62280","3478","UDP","1021"
"0.002506","0.002506","62280","3478","RTCP","142"
"0.001584","0.001584","62280","3478","UDP","152"
"0.003514","0.003514","3478","62280","RTCP","110"
"0.016512","0.016512","62280","3478","UDP","153"
"0.008728","0.008728","62280","3478","UDP","686"
"0.011257","0.011257","62280","3478","UDP","157"
"0.013611","0.013611","3478","62280","RTCP","110"
"0.030436","0.030436","62280","3478","UDP","162"
"0.000156","0.000156","62280","3478","UDP","899"
"0.000000","0.000000","62280","3478","UDP","151"
"0.012744","0.012744","62280","3478","UDP","654"
"0.003177","0.003177","62280","3478","UDP","149"
"0.003392","0.003392","3478","62280","RTCP","106"
"0.020843","0.020843","62280","3478","UDP","149"
"0.005188","0.005188","62280","3478","UDP","974"
"0.009768","0.009768","62280","3478","UDP","151"
"0.017474","0.017474","62280","3478","DTLSv1.2","107"
"0.003668","0.003668","62280","3478","UDP","153"
"0.002234","0.002234","62280","3478","UDP","643"
"0.017562","0.017562","62280","3478","UDP","148"
"0.015319","0.015319","62280","3478","UDP","975"
"0.004522","0.004522","62280","3478","UDP","151"
"0.020341","0.020341","62280","3478","UDP","151"
