"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","62280","3478","UDP","1064"
"0.005379","0.005379","3478","62280","RTCP","110"
"0.001692","0.001692","62280","3478","UDP","149"
"0.022061","0.022061","62280","3478","UDP","150"
"0.004741","0.004741","62280","3478","UDP","836"
"0.012591","0.012591","62280","3478","UDP","147"
"0.010540","0.010540","3478","62280","RTCP","110"
"0.010155","0.010155","62280","3478","UDP","165"
"0.001292","0.001292","62280","3478","UDP","1229"
"0.001953","0.001953","62280","3478","RTCP","106"
"0.017170","0.017170","62280","3478","UDP","159"
"0.012620","0.012620","62280","3478","UDP","741"
"0.005535","0.005535","3478","62280","RTCP","110"
"0.001763","0.001763","62280","3478","UDP","158"
"0.020003","0.020003","62280","3478","UDP","150"
"0.008711","0.008711","62280","3478","UDP","1107"
"0.011765","0.011765","62280","3478","UDP","154"
"0.007664","0.007664","3478","62280","RTCP","110"
"0.011547","0.011547","62280","3478","UDP","927"
"0.000048","0.000048","62280","3478","UDP","147"
"0.020891","0.020891","62280","3478","UDP","149"
"0.012655","0.012655","62280","3478","UDP","845"
"0.000045","0.000045","62280","3478","UDP","845"
"0.004853","0.004853","3478","62280","RTCP","110"
"0.002735","0.002735","62280","3478","UDP","154"
"0.035786","0.035786","62280","3478","UDP","147"
"0.000235","0.000235","62280","3478","UDP","1002"
"0.002783","0.002783","62280","3478","UDP","151"
"0.010718","0.010718","3478","62280","RTCP","110"
"0.011088","0.011088","62280","3478","UDP","161"
"0.002173","0.002173","62280","3478","UDP","768"
"0.000057","0.000057","62280","3478","UDP","768"
"0.016190","0.016190","62280","3478","UDP","153"
"0.012745","0.012745","62280","3478","UDP","1006"
"0.005758","0.005758","3478","62280","RTCP","110"
"0.001479","0.001479","62280","3478","UDP","153"
"0.020241","0.020241","62280","3478","UDP","156"
"0.009336","0.009336","62280","3478","UDP","822"
"0.000000","0.000000","62280","3478","UDP","822"
"0.010444","0.010444","50224","19305","STUN","188"
"0.000884","0.000884","62280","3478","UDP","153"
"0.007892","0.007892","3478","62280","RTCP","106"
"0.029335","0.029335","62280","3478","UDP","831"
"0.000000","0.000000","62280","3478","UDP","149"
"0.002083","0.002083","62280","3478","UDP","147"
"0.012743","0.012743","62280","3478","UDP","1119"
"0.007062","0.007062","62280","3478","UDP","149"
"0.019816","0.019816","62280","3478","UDP","87"
"0.006170","0.006170","62280","3478","UDP","723"
"0.035491","0.035491","62280","3478","UDP","956"
"0.003262","0.003262","19305","50224","TCP","68"
"0.000528","0.000528","19305","50224","STUN","130"
"0.001042","0.001042","50224","19305","TCP","66"
"0.001286","0.001286","50224","19305","TCP","66"
"0.018197","0.018197","62280","3478","RTCP","118"
"0.006414","0.006414","62280","3478","UDP","603"
"0.006784","0.006784","3478","62280","RTCP","118"
"0.042767","0.042767","62280","3478","UDP","903"
"0.007293","0.007293","3478","62280","RTCP","106"
"0.009659","0.009659","62280","3478","UDP","652"
"0.036022","0.036022","62280","3478","UDP","873"
"0.004209","0.004209","3478","62280","RTCP","106"
"0.021150","0.021150","62280","3478","UDP","149"
"0.006119","0.006119","62280","3478","UDP","664"
"0.009401","0.009401","3478","62280","RTCP","186"
"0.004905","0.004905","62280","3478","UDP","156"
"0.008729","0.008729","3478","62280","RTCP","106"
"0.013487","0.013487","62280","3478","UDP","151"
"0.001148","0.001148","62280","3478","UDP","926"
"0.016252","0.016252","62280","3478","UDP","149"
"0.012239","0.012239","62280","3478","UDP","706"
"0.006790","0.006790","3478","62280","RTCP","110"
"0.000791","0.000791","62280","3478","UDP","149"
"0.019941","0.019941","62280","3478","UDP","149"
"0.005867","0.005867","62280","3478","UDP","803"
"0.014155","0.014155","62280","3478","UDP","148"
"0.009278","0.009278","3478","62280","RTCP","110"
"0.011637","0.011637","62280","3478","UDP","530"
"0.000000","0.000000","62280","3478","UDP","148"
"0.019144","0.019144","62280","3478","UDP","152"
"0.012853","0.012853","62280","3478","UDP","900"
"0.006324","0.006324","3478","62280","RTCP","110"
"0.000818","0.000818","62280","3478","UDP","152"
"0.037301","0.037301","62280","3478","UDP","148"
"0.000043","0.000043","62280","3478","UDP","603"
"0.004589","0.004589","62280","3478","UDP","148"
"0.000000","0.000000","62280","3478","STUN","166"
"0.007385","0.007385","3478","62280","RTCP","110"
"0.029785","0.029785","62280","3478","UDP","889"
"0.000000","0.000000","62280","3478","UDP","154"
"0.000000","0.000000","3478","62280","STUN","106"
"0.000965","0.000965","62280","3478","UDP","156"
"0.013324","0.013324","62280","3478","UDP","699"
"0.005855","0.005855","3478","62280","RTCP","110"
"0.004140","0.004140","62280","3478","UDP","150"
"0.015593","0.015593","62280","3478","UDP","151"
"0.005031","0.005031","62280","3478","UDP","1184"
"0.019388","0.019388","62280","3478","UDP","151"
"0.006071","0.006071","3478","62280","RTCP","110"
"0.009345","0.009345","62280","3478","UDP","621"
"0.001080","0.001080","62280","3478","UDP","150"
"0.020205","0.020205","62280","3478","UDP","152"
"0.013249","0.013249","62280","3478","UDP","1196"
"0.005624","0.005624","62280","3478","UDP","152"
"0.000532","0.000532","3478","62280","RTCP","110"
"0.018403","0.018403","62280","3478","UDP","146"
"0.003133","0.003133","62280","3478","UDP","1168"
"0.019172","0.019172","52687","443","TLSv1.2","1011"
"0.000000","0.000000","62280","3478","UDP","154"
"0.009256","0.009256","3478","62280","RTCP","110"
"0.003867","0.003867","62280","3478","RTCP","142"
"0.008618","0.008618","62280","3478","UDP","155"
"0.001216","0.001216","62280","3478","UDP","811"
"0.017343","0.017343","62280","3478","UDP","154"
"0.011463","0.011463","62280","3478","UDP","1043"
"0.007789","0.007789","62280","3478","UDP","146"
"0.000000","0.000000","3478","62280","RTCP","110"
"0.037819","0.037819","62280","3478","UDP","155"
"0.000277","0.000277","62280","3478","UDP","1160"
"0.001576","0.001576","62280","3478","UDP","145"
