"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","3478","62280","STUN","106"
"0.021178","0.021178","3478","62280","RTCP","110"
"0.003359","0.003359","62280","3478","UDP","159"
"0.000173","0.000173","62280","3478","UDP","783"
"0.004425","0.004425","62280","3478","UDP","153"
"0.016623","0.016623","62280","3478","UDP","159"
"0.005268","0.005268","62280","3478","UDP","1114"
"0.014545","0.014545","62280","3478","UDP","179"
"0.005687","0.005687","3478","62280","RTCP","110"
"0.012520","0.012520","62280","3478","UDP","757"
"0.001494","0.001494","62280","3478","UDP","165"
"0.020052","0.020052","62280","3478","UDP","155"
"0.013879","0.013879","62280","3478","UDP","1214"
"0.002066","0.002066","3478","62280","RTCP","110"
"0.003935","0.003935","62280","3478","UDP","160"
"0.020304","0.020304","62280","3478","UDP","156"
"0.004560","0.004560","62280","3478","UDP","586"
"0.005177","0.005177","3478","62280","RTCP","186"
"0.012229","0.012229","62280","3478","UDP","152"
"0.003752","0.003752","3478","62280","RTCP","110"
"0.012672","0.012672","62280","3478","UDP","1155"
"0.001286","0.001286","62280","3478","UDP","149"
"0.020199","0.020199","62280","3478","UDP","151"
"0.011299","0.011299","62280","3478","UDP","732"
"0.004885","0.004885","3478","62280","RTCP","106"
"0.003563","0.003563","62280","3478","UDP","149"
"0.020763","0.020763","62280","3478","UDP","151"
"0.005134","0.005134","62280","3478","UDP","808"
"0.016561","0.016561","62280","3478","UDP","155"
"0.003925","0.003925","3478","62280","RTCP","110"
"0.011489","0.011489","62280","3478","UDP","761"
"0.002252","0.002252","62280","3478","UDP","157"
"0.036562","0.036562","3478","62280","RTCP","110"
"0.002801","0.002801","62280","3478","UDP","156"
"0.000151","0.000151","62280","3478","UDP","682"
"0.000054","0.000054","62280","3478","UDP","683"
"0.000368","0.000368","62280","3478","UDP","154"
"0.020395","0.020395","62280","3478","UDP","160"
"0.005363","0.005363","62280","3478","UDP","992"
"0.014532","0.014532","62280","3478","UDP","160"
"0.006313","0.006313","3478","62280","RTCP","110"
"0.021664","0.021664","62280","3478","UDP","787"
"0.000045","0.000045","62280","3478","UDP","787"
"0.000000","0.000000","62280","3478","UDP","156"
"0.011699","0.011699","62280","3478","UDP","157"
"0.011354","0.011354","62280","3478","UDP","1058"
"0.004478","0.004478","62280","3478","RTCP","142"
"0.000745","0.000745","3478","62280","RTCP","110"
"0.003605","0.003605","62280","3478","UDP","157"
"0.020340","0.020340","62280","3478","UDP","150"
"0.004971","0.004971","62280","3478","UDP","719"
"0.000000","0.000000","62280","3478","UDP","719"
"0.014572","0.014572","62280","3478","UDP","159"
"0.001510","0.001510","50224","19305","STUN","188"
"0.004959","0.004959","3478","62280","RTCP","106"
"0.012365","0.012365","62280","3478","UDP","1048"
"0.009428","0.009428","62280","3478","UDP","168"
"0.000000","0.000000","19305","50224","TCP","68"
"0.000000","0.000000","19305","50224","STUN","130"
"0.000000","0.000000","50224","19305","TCP","66"
"0.000000","0.000000","50224","19305","TCP","66"
"0.011674","0.011674","62280","3478","UDP","162"
"0.013376","0.013376","62280","3478","UDP","765"
"0.000000","0.000000","62280","3478","UDP","765"
"0.003161","0.003161","3478","62280","RTCP","114"
"0.003418","0.003418","62280","3478","UDP","165"
"0.021661","0.021661","62280","3478","UDP","181"
"0.003677","0.003677","62280","3478","UDP","1032"
"0.015005","0.015005","62280","3478","UDP","161"
"0.006587","0.006587","3478","62280","RTCP","110"
"0.012646","0.012646","62280","3478","UDP","769"
"0.000999","0.000999","62280","3478","UDP","769"
"0.001129","0.001129","62280","3478","UDP","156"
"0.035162","0.035162","3478","62280","RTCP","110"
"0.003058","0.003058","62280","3478","UDP","158"
"0.000275","0.000275","62280","3478","UDP","1155"
"0.000000","0.000000","62280","3478","UDP","159"
"0.020420","0.020420","62280","3478","UDP","153"
"0.005424","0.005424","62280","3478","UDP","1249"
"0.002588","0.002588","62280","3478","DTLSv1.2","279"
"0.011499","0.011499","62280","3478","UDP","156"
"0.006679","0.006679","3478","62280","RTCP","110"
"0.012275","0.012275","62280","3478","UDP","805"
"0.000538","0.000538","62280","3478","UDP","153"
"0.005698","0.005698","3478","62280","DTLSv1.2","147"
"0.007523","0.007523","","","STP","60"
"0.007300","0.007300","62280","3478","UDP","158"
"0.014208","0.014208","62280","3478","UDP","1254"
"0.002467","0.002467","3478","62280","RTCP","110"
"0.003846","0.003846","62280","3478","UDP","162"
"0.020252","0.020252","62280","3478","UDP","159"
"0.005981","0.005981","62280","3478","UDP","732"
"0.013461","0.013461","62280","3478","UDP","154"
"0.006487","0.006487","3478","62280","RTCP","110"
"0.019770","0.019770","62280","3478","UDP","1193"
"0.000000","0.000000","62280","3478","UDP","157"
"0.013346","0.013346","62280","3478","UDP","159"
"0.011890","0.011890","62280","3478","UDP","739"
"0.005067","0.005067","3478","62280","RTCP","110"
"0.003055","0.003055","62280","3478","UDP","157"
"0.023275","0.023275","62280","3478","UDP","158"
"0.002549","0.002549","62280","3478","UDP","979"
"0.014683","0.014683","62280","3478","UDP","147"
"0.006541","0.006541","3478","62280","RTCP","110"
"0.021281","0.021281","62280","3478","UDP","770"
"0.000000","0.000000","62280","3478","UDP","152"
"0.000000","0.000000","62280","3478","DTLSv1.2","107"
"0.028753","0.028753","3478","62280","RTCP","110"
"0.002808","0.002808","62280","3478","UDP","156"
"0.000279","0.000279","62280","3478","UDP","1166"
"0.000000","0.000000","62280","3478","UDP","150"
"0.020069","0.020069","62280","3478","UDP","148"
"0.005550","0.005550","62280","3478","UDP","813"
"0.014530","0.014530","62280","3478","UDP","150"
"0.001558","0.001558","62280","3478","STUN","166"
"0.006726","0.006726","3478","62280","RTCP","110"
"0.010843","0.010843","62280","3478","UDP","684"
"0.001012","0.001012","62280","3478","UDP","684"
"0.001034","0.001034","62280","3478","UDP","155"
"0.013147","0.013147","3478","62280","STUN","106"
"0.005857","0.005857","62280","3478","UDP","156"
"0.012106","0.012106","62280","3478","UDP","870"
"0.005030","0.005030","3478","62280","RTCP","110"
"0.002698","0.002698","62280","3478","UDP","154"
"0.018898","0.018898","62280","3478","RTCP","106"
"0.001343","0.001343","62280","3478","UDP","156"
"0.008144","0.008144","62280","3478","UDP","1154"
"0.012059","0.012059","62280","3478","UDP","87"
"0.006455","0.006455","3478","62280","RTCP","110"
"0.011807","0.011807","62280","3478","UDP","817"
"0.035556","0.035556","62280","3478","UDP","1164"
"0.002800","0.002800","3478","62280","RTCP","110"
"0.028926","0.028926","62280","3478","UDP","910"
"0.004421","0.004421","3478","62280","RTCP","186"
"0.016652","0.016652","3478","62280","RTCP","106"
"0.012523","0.012523","62280","3478","UDP","1195"
"0.037531","0.037531","3478","62280","RTCP","106"
"0.002182","0.002182","62280","3478","UDP","863"
"0.026581","0.026581","62280","3478","UDP","1214"
"0.021168","0.021168","3478","62280","RTCP","106"
"0.002171","0.002171","62280","3478","RTCP","142"
"0.009211","0.009211","62280","3478","UDP","735"
"0.036420","0.036420","62280","3478","UDP","1035"
"0.002434","0.002434","3478","62280","RTCP","106"
"0.002499","0.002499","62280","3478","UDP","157"
"0.020309","0.020309","62280","3478","UDP","152"
"0.005061","0.005061","62280","3478","UDP","721"
"0.017664","0.017664","62280","3478","UDP","151"
"0.004234","0.004234","3478","62280","RTCP","110"
"0.020802","0.020802","62280","3478","UDP","152"
"0.000178","0.000178","62280","3478","UDP","1046"
"0.011496","0.011496","62280","3478","UDP","153"
"0.007741","0.007741","62280","3478","UDP","774"
"0.006558","0.006558","52632","443","TCP","1494"
"0.000000","0.000000","52632","443","TCP","686"
"0.000000","0.000000","52632","443","TLSv1.2","314"
"0.000702","0.000702","52632","443","TLSv1.2","1360"
"0.002527","0.002527","62280","3478","UDP","152"
"0.000242","0.000242","3478","62280","RTCP","110"
"0.020760","0.020760","52633","443","TLSv1.2","1033"
"0.000838","0.000838","62280","3478","UDP","157"
"0.002151","0.002151","62280","3478","UDP","1067"
"0.006214","0.006214","443","52632","TCP","66"
