"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","62280","3478","UDP","647"
"0.004360","0.004360","62280","3478","UDP","146"
"0.012198","0.012198","3478","62280","RTCP","110"
"0.008462","0.008462","62280","3478","UDP","146"
"0.012102","0.012102","62280","3478","UDP","917"
"0.008350","0.008350","62280","3478","UDP","149"
"0.020789","0.020789","62280","3478","UDP","171"
"0.000043","0.000043","3478","62280","RTCP","110"
"0.001868","0.001868","62280","3478","UDP","768"
"0.022054","0.022054","62280","3478","UDP","152"
"0.010475","0.010475","62280","3478","UDP","870"
"0.006013","0.006013","62280","3478","UDP","156"
"0.010406","0.010406","3478","62280","RTCP","110"
"0.007926","0.007926","62280","3478","UDP","150"
"0.009703","0.009703","62280","3478","UDP","805"
"0.028361","0.028361","3478","62280","RTCP","186"
"0.003232","0.003232","3478","62280","RTCP","110"
"0.003924","0.003924","62280","3478","UDP","147"
"0.000000","0.000000","62280","3478","UDP","147"
"0.000720","0.000720","62280","3478","UDP","1120"
"0.021369","0.021369","62280","3478","UDP","164"
"0.008350","0.008350","62280","3478","UDP","771"
"0.003539","0.003539","62280","3478","UDP","153"
"0.012081","0.012081","3478","62280","RTCP","110"
"0.008180","0.008180","62280","3478","UDP","153"
"0.011767","0.011767","62280","3478","UDP","699"
"0.000932","0.000932","62280","3478","UDP","700"
"0.007370","0.007370","62280","3478","UDP","152"
"0.020412","0.020412","62280","3478","UDP","144"
"0.001525","0.001525","3478","62280","RTCP","110"
"0.002264","0.002264","62280","3478","UDP","940"
"0.015574","0.015574","62280","3478","UDP","147"
"0.016713","0.016713","62280","3478","UDP","788"
"0.000061","0.000061","62280","3478","UDP","789"
"0.007677","0.007677","62280","3478","UDP","142"
"0.007809","0.007809","3478","62280","RTCP","110"
"0.007105","0.007105","62280","3478","STUN","166"
"0.000729","0.000729","62280","3478","UDP","144"
"0.009974","0.009974","62280","3478","UDP","811"
"0.009912","0.009912","62280","3478","UDP","146"
"0.002033","0.002033","3478","62280","STUN","106"
"0.018744","0.018744","62280","3478","UDP","149"
"0.001428","0.001428","3478","62280","RTCP","110"
"0.001677","0.001677","62280","3478","UDP","962"
"0.040389","0.040389","62280","3478","UDP","150"
"0.000090","0.000090","62280","3478","UDP","651"
"0.000000","0.000000","62280","3478","UDP","151"
"0.008070","0.008070","3478","62280","RTCP","110"
"0.008090","0.008090","62280","3478","UDP","146"
"0.042019","0.042019","3478","62280","RTCP","110"
"0.006252","0.006252","62280","3478","UDP","1052"
"0.000000","0.000000","62280","3478","UDP","146"
"0.000000","0.000000","62280","3478","UDP","149"
