"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","62280","3478","UDP","158"
"0.017636","0.017636","62280","3478","UDP","964"
"0.002324","0.002324","62280","3478","UDP","159"
"0.006850","0.006850","3478","62280","RTCP","110"
"0.013801","0.013801","62280","3478","UDP","166"
"0.031966","0.031966","62280","3478","UDP","701"
"0.000000","0.000000","62280","3478","UDP","172"
"0.004220","0.004220","3478","62280","RTCP","110"
"0.003403","0.003403","62280","3478","UDP","157"
"0.002977","0.002977","62280","3478","UDP","889"
"0.016952","0.016952","62280","3478","UDP","161"
"0.026758","0.026758","3478","62280","RTCP","110"
"0.006810","0.006810","62280","3478","UDP","662"
"0.000000","0.000000","62280","3478","UDP","157"
"0.006540","0.006540","62280","3478","UDP","151"
"0.008244","0.008244","62280","3478","UDP","868"
"0.014243","0.014243","62280","3478","UDP","157"
"0.014405","0.014405","3478","62280","RTCP","110"
"0.003830","0.003830","62280","3478","UDP","167"
"0.000205","0.000205","62280","3478","UDP","588"
"0.018882","0.018882","62280","3478","UDP","153"
"0.017070","0.017070","62280","3478","UDP","782"
"0.002983","0.002983","62280","3478","UDP","153"
"0.007045","0.007045","3478","62280","RTCP","110"
"0.013051","0.013051","62280","3478","UDP","151"
"0.009258","0.009258","62280","3478","UDP","674"
"0.010573","0.010573","62280","3478","UDP","152"
"0.017289","0.017289","3478","62280","RTCP","110"
"0.003064","0.003064","62280","3478","UDP","150"
"0.003181","0.003181","62280","3478","UDP","896"
"0.015481","0.015481","62280","3478","RTCP","106"
"0.001253","0.001253","62280","3478","UDP","150"
"0.014510","0.014510","62280","3478","UDP","742"
"0.005563","0.005563","62280","3478","UDP","156"
"0.006988","0.006988","3478","62280","RTCP","106"
"0.013060","0.013060","62280","3478","UDP","155"
"0.033138","0.033138","62280","3478","UDP","1031"
"0.000000","0.000000","62280","3478","UDP","161"
"0.000000","0.000000","62280","3478","RTCP","142"
"0.003809","0.003809","3478","62280","RTCP","110"
"0.003736","0.003736","62280","3478","UDP","158"
"0.002357","0.002357","62280","3478","UDP","629"
"0.017618","0.017618","62280","3478","UDP","157"
"0.016610","0.016610","62280","3478","UDP","900"
