"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","65186","443","UDP","423"
"0.001705","0.001705","65186","443","UDP","1288"
"0.001610","0.001610","65186","443","UDP","1292"
"0.000074","0.000074","65186","443","UDP","1292"
"0.000111","0.000111","65186","443","UDP","455"
"0.024893","0.024893","443","65186","UDP","89"
"0.012952","0.012952","443","65186","UDP","86"
"0.000000","0.000000","443","65186","UDP","85"
"0.001321","0.001321","443","65186","UDP","254"
"0.000000","0.000000","443","65186","UDP","89"
"0.000000","0.000000","443","65186","UDP","96"
"0.016409","0.016409","65186","443","UDP","95"
"0.029318","0.029318","65186","443","UDP","97"
"0.001472","0.001472","65186","443","UDP","95"
"0.000742","0.000742","443","65186","UDP","146"
"0.014552","0.014552","63351","443","TLSv1.2","508"
"0.001971","0.001971","63351","443","TCP","1514"
"0.000053","0.000053","63351","443","TCP","706"
"0.000074","0.000074","63351","443","TLSv1.2","827"
"0.001475","0.001475","60795","53","DNS","113"
"0.002132","0.002132","50850","53","DNS","113"
"0.025368","0.025368","53","60795","DNS","159"
"0.002053","0.002053","443","63351","TCP","86"
"0.000954","0.000954","443","63351","TCP","86"
"0.000396","0.000396","443","63351","TCP","86"
"0.000256","0.000256","443","65186","UDP","183"
"0.000000","0.000000","443","65186","UDP","145"
"0.000411","0.000411","443","65186","UDP","851"
"0.000000","0.000000","443","65186","UDP","89"
"0.000000","0.000000","443","65186","UDP","138"
"0.000000","0.000000","443","65186","UDP","117"
"0.000000","0.000000","443","63351","TCP","86"
"0.001784","0.001784","65186","443","UDP","95"
"0.001460","0.001460","50850","53","DNS","111"
"0.001832","0.001832","65186","443","UDP","95"
"0.006211","0.006211","65186","443","UDP","95"
"0.000000","0.000000","65186","443","UDP","95"
"0.000722","0.000722","53","50850","DNS","171"
"0.012165","0.012165","52488","443","QUIC","1292"
"0.019631","0.019631","53","50850","DNS","139"
"0.003627","0.003627","","","ICMPv6","187"
"0.005702","0.005702","443","65186","UDP","148"
"0.034329","0.034329","65186","443","UDP","95"
"0.002185","0.002185","443","65186","UDP","177"
"0.007194","0.007194","443","65186","UDP","146"
"0.000466","0.000466","443","65186","UDP","1020"
"0.000000","0.000000","443","65186","UDP","89"
"0.000000","0.000000","443","65186","UDP","98"
"0.002099","0.002099","443","65186","UDP","1292"
"0.001699","0.001699","443","65186","UDP","1292"
"0.000276","0.000276","443","65186","UDP","1292"
"0.001058","0.001058","65186","443","UDP","95"
"0.000000","0.000000","65186","443","UDP","95"
"0.002370","0.002370","65186","443","UDP","95"
"0.000000","0.000000","65186","443","UDP","95"
"0.001325","0.001325","443","65186","UDP","1292"
"0.000272","0.000272","443","65186","UDP","1292"
"0.000325","0.000325","443","65186","UDP","1292"
"0.000078","0.000078","443","65186","UDP","1292"
"0.001823","0.001823","443","65186","UDP","1292"
"0.000333","0.000333","443","65186","UDP","1292"
"0.002627","0.002627","443","65186","UDP","697"
"0.000322","0.000322","65186","443","UDP","95"
"0.000000","0.000000","65186","443","UDP","95"
"0.000084","0.000084","65186","443","UDP","95"
"0.029244","0.029244","65186","443","UDP","95"
"0.010085","0.010085","443","65186","UDP","158"
"0.000585","0.000585","443","65186","UDP","1287"
"0.002383","0.002383","65186","443","UDP","95"
"0.001294","0.001294","443","65186","UDP","1292"
"0.000238","0.000238","443","65186","UDP","1292"
"0.000343","0.000343","443","65186","UDP","1292"
"0.001149","0.001149","443","65186","UDP","1292"
"0.001551","0.001551","443","65186","UDP","1292"
"0.000276","0.000276","443","65186","UDP","1292"
"0.000967","0.000967","65186","443","UDP","95"
"0.000000","0.000000","65186","443","UDP","95"
"0.001034","0.001034","443","65186","UDP","1292"
"0.000246","0.000246","443","65186","UDP","1292"
"0.000000","0.000000","65186","443","UDP","95"
"0.002319","0.002319","443","65186","UDP","1292"
"0.000196","0.000196","443","65186","UDP","1292"
"0.000120","0.000120","65186","443","UDP","95"
"0.002481","0.002481","443","65186","UDP","1292"
"0.000272","0.000272","443","65186","UDP","1292"
"0.000000","0.000000","65186","443","UDP","99"
"0.002454","0.002454","443","65186","UDP","1292"
"0.000270","0.000270","443","65186","UDP","1292"
"0.000000","0.000000","65186","443","UDP","95"
